iter	Passed	Remaining
763	2128	657
764	2131	654
765	2134	652
766	2137	649
767	2140	646
768	2142	643
769	2145	640
770	2148	638
771	2151	635
772	2154	632
773	2156	629
774	2159	626
775	2162	624
776	2164	621
777	2167	618
778	2170	615
779	2173	612
780	2175	610
781	2178	607
782	2181	604
783	2184	601
784	2187	599
785	2189	596
786	2192	593
787	2195	590
788	2197	587
789	2200	585
790	2203	582
791	2205	579
792	2209	576
793	2211	573
794	2214	571
795	2216	568
796	2219	565
797	2222	562
798	2224	559
799	2228	557
800	2230	554
801	2233	551
802	2235	548
803	2238	545
804	2241	542
805	2243	540
806	2246	537
807	2249	534
808	2251	531
809	2254	528
810	2257	526
811	2260	523
812	2263	520
813	2265	517
814	2268	515
815	2271	512
816	2274	509
817	2276	506
818	2279	503
819	2282	500
820	2284	498
821	2288	495
822	2290	492
823	2293	489
824	2296	487
825	2298	484
826	2301	481
827	2304	478
828	2307	475
829	2309	473
830	2312	470
831	2315	467
832	2318	464
833	2321	462
834	2323	459
835	2326	456
836	2329	453
837	2332	450
838	2334	448
839	2337	445
840	2340	442
841	2343	439
842	2347	437
843	2349	434
844	2353	431
845	2356	428
846	2358	426
847	2361	423
848	2364	420
849	2367	417
850	2370	415
851	2372	412
852	2375	409
853	2378	406
854	2381	403
855	2383	401
856	2386	398
857	2389	395
858	2391	392
859	2394	389
860	2397	387
861	2399	384
862	2402	381
863	2405	378
864	2408	375
865	2410	373
866	2413	370
867	2416	367
868	2419	364
869	2422	361
870	2424	359
871	2427	356
872	2430	353
873	2432	350
874	2436	348
875	2438	345
876	2442	342
877	2444	339
878	2447	336
879	2450	334
880	2453	331
881	2456	328
882	2458	325
883	2461	323
884	2464	320
885	2466	317
886	2469	314
887	2472	311
888	2475	309
889	2478	306
890	2480	303
891	2483	300
892	2485	297
893	2488	295
894	2491	292
895	2493	289
896	2496	286
897	2499	283
898	2502	281
899	2504	278
900	2507	275
901	2510	272
902	2513	269
903	2516	267
904	2518	264
905	2521	261
906	2524	258
907	2526	256
908	2529	253
909	2532	250
910	2534	247
911	2537	244
912	2540	242
913	2543	239
914	2545	236
915	2548	233
916	2551	230
917	2554	228
918	2557	225
919	2559	222
920	2562	219
921	2565	217
922	2567	214
923	2570	211
924	2573	208
925	2576	205
926	2579	203
927	2581	200
928	2584	197
929	2587	194
930	2589	191
931	2592	189
932	2595	186
933	2598	183
934	2600	180
935	2603	178
936	2606	175
937	2608	172
938	2611	169
939	2614	166
940	2617	164
941	2620	161
942	2623	158
943	2626	155
944	2628	153
945	2632	150
946	2634	147
947	2637	144
948	2640	141
949	2642	139
950	2645	136
951	2648	133
952	2651	130
953	2654	127
954	2656	125
955	2659	122
956	2661	119
957	2664	116
958	2667	114
959	2670	111
960	2673	108
961	2675	105
962	2678	102
963	2680	100
964	2683	97
965	2686	94
966	2688	91
967	2691	88
968	2693	86
969	2696	83
970	2699	80
971	2702	77
972	2704	75
973	2707	72
974	2710	69
975	2712	66
976	2715	63
977	2718	61
978	2720	58
979	2723	55
980	2727	52
981	2730	50
982	2733	47
983	2735	44
984	2738	41
985	2741	38
986	2744	36
987	2747	33
988	2749	30
989	2752	27
990	2755	25
991	2758	22
992	2761	19
993	2763	16
994	2766	13
995	2769	11
996	2771	8
997	2774	5
998	2776	2
999	2779	0
